"taxon","taxon1","taxon2","genus","tribe","subfamily","family","order","class","agg.ssp","rand.type","poly.ins"
"Thespieus_macareus",,,"Thespieus",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Thessalia_chinatiensis",,,"Thessalia",,,,,,,,
"Thessalia_cyneas",,,"Thessalia",,,,,,,,
"Thessalia_fulvia",,,"Thessalia",,,,,,,,
"Thessalia_leanira",,,"Thessalia",,,,,,,,
"Thessalia_theona",,,"Thessalia",,,,,,,,
"Thorybes_bathyllus",,,"Thorybes","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Thorybes_confusis",,,"Thorybes","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Thorybes_diversus",,,"Thorybes","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Thorybes_drusius",,,"Thorybes","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Thorybes_mexicanus",,,"Thorybes","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Thorybes_pylades",,,"Thorybes","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Thymelicus_lineola",,,"Thymelicus",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Timochares_ruptifasciatus",,,"Timochares",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta",,,
"Tmolus_echion",,,"Tmolus","Eumaeini","Theclinae","Lycaenidae","Lepidoptera","Insecta",,,
"Typhedanus_undulatus",,,"Typhedanus","Oileidini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Urbanus_belli",,,"Urbanus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Urbanus_dorantes",,,"Urbanus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Urbanus_doryssus",,,"Urbanus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Urbanus_esmeraldus",,,"Urbanus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Urbanus_procne",,,"Urbanus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Urbanus_pronus",,,"Urbanus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Urbanus_proteus",,,"Urbanus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Urbanus_simplicius",,,"Urbanus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Urbanus_tanna",,,"Urbanus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Urbanus_teleus",,,"Urbanus","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Vacciniina_optilete",,,"Vacciniina",,"Polyommatinae","Lycaenidae","Lepidoptera","Insecta",,,
"Vaga_blackburni",,,"Vaga",,,,,,,,
"Vanessa_annabella",,,"Vanessa","Nymphalini","Nymphalinae","Nymphalidae","Lepidoptera","Insecta",,,
"Vanessa_atalanta",,,"Vanessa","Nymphalini","Nymphalinae","Nymphalidae","Lepidoptera","Insecta",,,
"Vanessa_cardui",,,"Vanessa","Nymphalini","Nymphalinae","Nymphalidae","Lepidoptera","Insecta",,,
"Vanessa_tameneamea",,,"Vanessa","Nymphalini","Nymphalinae","Nymphalidae","Lepidoptera","Insecta",,,
"Vanessa_virginiensis",,,"Vanessa","Nymphalini","Nymphalinae","Nymphalidae","Lepidoptera","Insecta",,,
"Vettius_fantasos",,,"Vettius",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Vidius_perigenes",,,"Vidius",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Wallengrenia_egeremet",,,"Wallengrenia",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Wallengrenia_otho",,,"Wallengrenia",,"Hesperiinae","Hesperiidae","Lepidoptera","Insecta",,,
"Xenophanes_tryxus",,,"Xenophanes",,"Pyrginae","Hesperiidae","Lepidoptera","Insecta",,,
"Zestusa_dorus",,,"Zestusa","Eudamini","Eudaminae","Hesperiidae","Lepidoptera","Insecta",,,
"Zizula_cyna",,,"Zizula",,"Polyommatinae","Lycaenidae","Lepidoptera","Insecta",,,
